Order ID;Date;Product ID;Product Name;Quantity;Price;Customer ID
1;2024-01-01;1001;Laptop;2;1200;101
2;2024-01-02;1002;Smartphone;1;800;102
3;2024-01-03;1003;Tablet;3;500;103
4;2024-01-04;1001;Laptop;1;1200;104
5;2024-01-05;1004;Headphones;2;100;105
6;2024-01-06;1005;Mouse;1;20;106
7;2024-01-07;1002;Smartphone;1;800;107
8;2024-01-08;1006;Keyboard;2;50;108
9;2024-01-09;1001;Laptop;1;1200;109
10;2024-01-10;1003;Tablet;1;500;110
11;2024-01-11;1007;Printer;1;300;101
12;2024-01-12;1008;Monitor;1;400;102
13;2024-01-13;1009;External Hard Drive;2;150;103
14;2024-01-14;1010;Gaming Console;1;600;104
15;2024-01-15;1004;Headphones;1;100;105
16;2024-01-16;1005;Mouse;1;20;106
17;2024-01-17;1011;Smartwatch;1;250;107
18;2024-01-18;1012;Wireless Speaker;1;120;108
19;2024-01-19;1002;Smartphone;2;800;109
20;2024-01-20;1013;Digital Camera;1;700;110
21;2024-01-21;1001;Laptop;1;1200;101
22;2024-01-22;1014;Fitness Tracker;1;100;102
23;2024-01-23;1006;Keyboard;1;50;103
24;2024-01-24;1007;Printer;1;300;104
25;2024-01-25;1008;Monitor;1;400;105
26;2024-01-26;1015;Wireless Earbuds;2;80;106
27;2024-01-27;1010;Gaming Console;1;600;107
28;2024-01-28;1016;E-book Reader;1;150;108
29;2024-01-29;1011;Smartwatch;1;250;109
30;2024-01-30;1017;Virtual Reality Headset;1;400;110
31;2024-01-31;1003;Tablet;1;500;101
32;2024-02-01;1018;Drone;1;1000;102
33;2024-02-02;1019;Robot Vacuum;1;300;103
34;2024-02-03;1020;Fitness Equipment;1;800;104
35;2024-02-04;1004;Headphones;1;100;105
36;2024-02-05;1021;Smart Home Hub;1;200;106
37;2024-02-06;1012;Wireless Speaker;1;120;107
38;2024-02-07;1022;Electric Scooter;1;600;108
39;2024-02-08;1023;Coffee Maker;1;80;109
40;2024-02-09;1001;Laptop;1;1200;110
41;2024-02-10;1024;Smart Thermostat;1;150;101
42;2024-02-11;1025;Smart Doorbell;1;250;102
43;2024-02-12;1006;Keyboard;1;50;103
44;2024-02-13;1026;Home Security Camera;1;120;104
45;2024-02-14;1027;Digital Photo Frame;1;100;105
46;2024-02-15;1028;Air Purifier;1;300;106
47;2024-02-16;1005;Mouse;1;20;107
48;2024-02-17;1029;Smart Lock;1;150;108
49;2024-02-18;1030;Smart Scale;1;80;109
50;2024-02-19;1013;Digital Camera;1;700;110
